PRODUCT_NAME,UNIT_PRICE,PRODUCT_ID,PRODUCT_DETAILS,PRODUCT_IMAGE,IMAGE_MIME_TYPE,IMAGE_FILENAME,IMAGE_CHARSET,IMAGE_LAST_UPDATED,COLOR_ID,DEPARTMENT_ID,CLOTHING_ID
*Boombox Ipod Classic,16.98,322a535f032b56eecadc3580b1f981b130c791a6814773282171c8fd217c9146,,,,,,,,,
*USB Office Mirror Ball,8.47,6271cecf0de400cb02dd4c9ee11847abbb382ff7aaada43bafec4a83b16d81b5,,,,,,,,,
10 COLOUR SPACEBOY PEN,0.85,0bab3ec8b96541fd98be7742f0a035aea6dc70a93b16c153c0e3f9dcfe8eb89f,,,,,,,,,
12 COLOURED PARTY BALLOONS,0.65,9a94adaac3f30a2a9637c21c7c59d0f37f232ff1f0e28652680a9662866df560,,,,,,,,,
12 DAISY PEGS IN WOOD BOX,1.65,fcf3de8121834b0a2208286b57ffff308633ce754bfdc70d6f85cfa841e4ce4e,,,,,,,,,
12 EGG HOUSE PAINTED WOOD,12.75,254085a8b91bc14fda7fc7ad6b02cf9e83643aa72ab5c83d1de3ddfdb883a641,,,,,,,,,
12 HANGING EGGS HAND PAINTED,2.08,9f3f30c1e8d1eb64977fa7bc1cbc504dff82d467d70665a799a2d48576251240,,,,,,,,,
12 IVORY ROSE PEG PLACE SETTINGS,1.25,2e5886681c6bffa2bb8c93220d037ce6fc427be1c748d253680b26fc7df3d5e7,,,,,,,,,
12 MESSAGE CARDS WITH ENVELOPES,1.65,51d95d1014e673073d2f954d0c7018f4e431b04e1d2bfcb27ba31594c7a422f8,,,,,,,,,
12 PENCIL SMALL TUBE WOODLAND,0.65,8a1337bea5678243f470d12cf3bd13e58d129020ac29822d619ccede0089f225,,,,,,,,,
12 PENCILS SMALL TUBE RED RETROSPOT,0.65,b6e87a965701a9b5458aaac875900662f9d2af832e7b90ba3ae6539a40dc85c9,,,,,,,,,
12 PENCILS SMALL TUBE SKULL,0.65,a3da3c33019d5801cc284fb1341759a9ed9356de405d0ea80e44c5010901759f,,,,,,,,,
12 PENCILS TALL TUBE POSY,0.29,9c4d239c4e6d9704c36c8cc58959495956d2da1ca666532ee2194c09d55f3347,,,,,,,,,
12 PENCILS TALL TUBE RED RETROSPOT,0.85,652898eb23d2da1f45758f316eef92cffc0ed1d179424b929d27b085a4d1bd4a,,,,,,,,,
