BillNo,Total,CustomerID,Date,Country_2,ORDER_STATUS,STORE_ID
536365,139.12,17850.0,2010-12-01 08:26:00.000000000,Eleven ICONN10,COMPLETED,10
536366,22.200000000000003,17850.0,2010-12-01 08:28:00.000000000,Eleven ICONN10,COMPLETED,10
536367,278.73,13047.0,2010-12-01 08:34:00.000000000,Eleven ICONN10,COMPLETED,10
536368,70.05000000000001,13047.0,2010-12-01 08:34:00.000000000,Eleven ICONN20,COMPLETED,20
536369,17.85,13047.0,2010-12-01 08:35:00.000000000,Eleven ICONN2,COMPLETED,2
536370,855.86,12583.0,2010-12-01 08:45:00.000000000,Eleven ICONN2,COMPLETED,2
536371,204.0,13748.0,2010-12-01 09:00:00.000000000,Eleven ICONN2,COMPLETED,2
536372,22.200000000000003,17850.0,2010-12-01 09:01:00.000000000,Eleven ICONN2,COMPLETED,2
536373,259.86,17850.0,2010-12-01 09:02:00.000000000,Eleven ICONN2,COMPLETED,2
536374,350.4,15100.0,2010-12-01 09:09:00.000000000,Eleven ICONN5,COMPLETED,5
536375,259.86,17850.0,2010-12-01 09:32:00.000000000,Eleven ICONN5,COMPLETED,5
536376,328.8,15291.0,2010-12-01 09:32:00.000000000,Eleven ICONN5,COMPLETED,5
536377,22.200000000000003,17850.0,2010-12-01 09:34:00.000000000,Eleven ICONN5,COMPLETED,5
536378,444.98,14688.0,2010-12-01 09:37:00.000000000,Eleven ICONN5,COMPLETED,5
536380,34.8,17809.0,2010-12-01 09:41:00.000000000,Eleven ICONN8,COMPLETED,8
536381,449.98,15311.0,2010-12-01 09:41:00.000000000,Eleven ICONN8,COMPLETED,8
536382,430.6,16098.0,2010-12-01 09:45:00.000000000,Eleven ICONN22,COMPLETED,22
536384,489.6,18074.0,2010-12-01 09:53:00.000000000,Eleven ICONN15,COMPLETED,15
536385,130.85,17420.0,2010-12-01 09:56:00.000000000,Eleven ICONN15,COMPLETED,15
536386,508.20000000000005,16029.0,2010-12-01 09:57:00.000000000,Eleven ICONN15,COMPLETED,15
536387,3193.92,16029.0,2010-12-01 09:58:00.000000000,Eleven ICONN15,COMPLETED,15
536388,226.14,16250.0,2010-12-01 09:59:00.000000000,Eleven ICONN15,COMPLETED,15
536389,358.25,12431.0,2010-12-01 10:03:00.000000000,Eleven ICONN12,COMPLETED,12
536390,1825.74,17511.0,2010-12-01 10:19:00.000000000,Eleven ICONN12,COMPLETED,12
536392,318.14,13705.0,2010-12-01 10:29:00.000000000,Eleven ICONN12,COMPLETED,12
536393,79.6,13747.0,2010-12-01 10:37:00.000000000,Eleven ICONN23,COMPLETED,23
536394,1024.68,13408.0,2010-12-01 10:39:00.000000000,Eleven ICONN23,COMPLETED,23
536395,507.88,13767.0,2010-12-01 10:47:00.000000000,Eleven ICONN23,COMPLETED,23
536396,376.36,17850.0,2010-12-01 10:51:00.000000000,Eleven ICONN9,COMPLETED,9
536397,279.0,17924.0,2010-12-01 10:51:00.000000000,Eleven ICONN9,COMPLETED,9
536398,426.56,13448.0,2010-12-01 10:52:00.000000000,Eleven ICONN9,COMPLETED,9
536399,22.200000000000003,17850.0,2010-12-01 10:52:00.000000000,Eleven ICONN12,COMPLETED,12
536400,17.4,13448.0,2010-12-01 10:53:00.000000000,Eleven ICONN12,COMPLETED,12
536401,354.23,15862.0,2010-12-01 11:21:00.000000000,Eleven ICONN20,COMPLETED,20
536402,357.0,15513.0,2010-12-01 11:22:00.000000000,Eleven ICONN12,COMPLETED,12
536403,192.60000000000002,12791.0,2010-12-01 11:27:00.000000000,Eleven ICONN12,COMPLETED,12
536404,471.3,16218.0,2010-12-01 11:29:00.000000000,Eleven ICONN11,COMPLETED,11
536405,326.4,14045.0,2010-12-01 11:32:00.000000000,Eleven ICONN10,COMPLETED,10
536406,353.14,17850.0,2010-12-01 11:33:00.000000000,Eleven ICONN10,COMPLETED,10
536407,22.200000000000003,17850.0,2010-12-01 11:34:00.000000000,Eleven ICONN5,COMPLETED,5
536408,783.11,14307.0,2010-12-01 11:41:00.000000000,Eleven ICONN5,COMPLETED,5
536409,243.28,17908.0,2010-12-01 11:45:00.000000000,Eleven ICONN2,COMPLETED,2
536412,514.41,17920.0,2010-12-01 11:49:00.000000000,Eleven ICONN12,COMPLETED,12
536415,390.79,12838.0,2010-12-01 11:57:00.000000000,Eleven ICONN3,COMPLETED,3
536416,225.7,13255.0,2010-12-01 11:58:00.000000000,Eleven ICONN9,COMPLETED,9
536420,233.45,16583.0,2010-12-01 12:03:00.000000000,Eleven ICONN9,COMPLETED,9
536423,303.9,18085.0,2010-12-01 12:08:00.000000000,Eleven ICONN9,COMPLETED,9
536425,362.45,13758.0,2010-12-01 12:08:00.000000000,Eleven ICONN14,COMPLETED,14
536437,842.12,13694.0,2010-12-01 12:12:00.000000000,Eleven ICONN14,COMPLETED,14
536446,440.89,15983.0,2010-12-01 12:15:00.000000000,Eleven ICONN14,COMPLETED,14
536460,295.54,14849.0,2010-12-01 12:22:00.000000000,Eleven ICONN13,COMPLETED,13
536463,17.4,14849.0,2010-12-01 12:22:00.000000000,Eleven ICONN13,COMPLETED,13
536464,277.35,17968.0,2010-12-01 12:23:00.000000000,Eleven ICONN21,COMPLETED,21
536466,42.9,14849.0,2010-12-01 12:23:00.000000000,Eleven ICONN17,COMPLETED,17
536477,2474.7400000000002,16210.0,2010-12-01 12:27:00.000000000,Eleven ICONN17,COMPLETED,17
536488,165.89,17897.0,2010-12-01 12:31:00.000000000,Eleven ICONN14,COMPLETED,14
536500,223.9,17377.0,2010-12-01 12:35:00.000000256,Eleven ICONN12,COMPLETED,12
536502,95.29,16552.0,2010-12-01 12:36:00.000000000,Eleven ICONN12,COMPLETED,12
536508,155.52,17181.0,2010-12-01 12:38:00.000000000,Eleven ICONN12,COMPLETED,12
536514,295.5,17951.0,2010-12-01 12:40:00.000000000,Eleven ICONN12,COMPLETED,12
